q2;qualifyId
1:26.902;613
1:26.841;614
1:27.253;615
1:27.253;616
1:27.039;617
1:27.750;618
1:27.801;619
1:27.880;620
1:28.002;621
1:28.013;622
1:28.100;623
1:28.390;624
1:28.220;631
1:28.188;632
1:21.356;633
1:21.746;634
1:21.993;635
1:22.466;636
1:22.369;637
1:22.400;638
1:23.134;639
1:22.748;640
1:23.107;641
1:23.021;642
1:23.166;643
1:23.176;644
1:23.209;645
1:23.274;646
1:23.325;647
1:23.351;648
1:45.070;655
1:45.173;656
1:45.442;657
1:45.132;658
1:46.469;659
1:45.994;660
1:46.426;661
1:46.480;662
1:46.240;663
1:46.618;664
1:46.800;665
1:46.955;666
1:47.115;667
1:45.885;668
1:47.394;669
1:46.603;676
1:24.753;677
1:24.806;678
1:24.988;679
1:25.049;680
1:25.248;681
1:25.454;682
1:25.535;683
1:25.909;684
1:25.530;685
1:26.033;686
1:26.232;687
1:26.247;688
1:26.253;689
1:26.948;690
1:25.816;692
1:35.898;699
1:35.381;700
1:35.796;701
1:35.845;702
1:36.252;703
1:36.709;704
1:36.602;705
1:36.217;706
1:36.116;707
1:36.771;708
1:36.862;709
1:36.959;710
1:36.991;711
1:37.247;712
1:37.483;713
1:36.891;715
1:12.374;721
1:12.296;722
1:12.161;723
1:12.637;724
1:12.683;725
1:12.888;726
1:12.641;727
1:12.832;728
1:12.846;729
1:12.752;730
1:12.932;731
1:12.968;732
1:13.058;733
1:13.251;734
1:13.315;735
1:13.469;736
1:32.025;743
1:32.014;744
1:32.025;745
1:31.215;746
1:31.487;747
1:32.322;748
1:32.309;749
1:32.106;750
1:31.831;751
1:31.958;752
1:32.456;753
1:32.620;754
1:32.850;755
1:33.066;756
1:33.416;757
1:34.606;758
1:33.623;765
1:33.527;766
1:34.563;767
1:34.574;768
1:34.279;769
1:34.568;770
1:34.351;771
1:33.997;772
1:34.537;773
1:34.586;774
1:34.614;775
1:34.683;776
1:34.702;777
1:34.752;778
1:34.783;779
1:26.337;787
1:26.196;788
1:25.729;789
1:26.161;790
1:25.902;791
1:26.596;792
1:26.075;793
1:26.014;794
1:26.714;795
1:26.327;796
1:26.718;797
1:27.023;798
1:27.219;799
1:27.591;800
1:29.422;801
1:22.579;809
1:23.749;810
1:23.760;811
1:23.595;812
1:23.743;813
1:23.565;814
1:23.760;815
1:23.190;816
1:23.727;817
1:23.718;818
1:23.771;819
1:23.887;820
1:23.966;821
1:24.101;822
1:24.129;823
1:24.520;824
1:30.336;831
1:30.013;832
1:30.732;833
1:30.469;834
1:30.203;835
1:30.755;836
1:30.733;837
1:30.865;838
1:30.671;839
1:30.892;840
1:30.944;841
1:31.194;842
1:31.197;843
1:31.227;844
1:31.422;845
1:31.728;846
1:15.124;853
1:14.766;854
1:14.637;855
1:15.245;856
1:15.258;857
1:15.164;858
1:15.068;859
1:15.150;860
1:15.422;861
1:15.468;862
1:15.502;863
1:15.801;864
1:15.804;865
1:15.847;866
1:15.928;867
1:16.661;868
1:13.622;875
1:13.728;876
1:13.532;877
1:14.295;878
1:14.312;879
1:14.211;880
1:13.687;881
1:13.909;882
1:13.647;883
1:14.398;884
1:14.747;885
1:14.969;886
1:14.982;887
1:15.052;888
1:15.137;889
1:20.271;897
1:20.497;898
1:20.659;899
1:20.846;900
1:20.594;901
1:20.929;902
1:21.043;903
1:20.816;904
1:20.629;905
1:20.672;906
1:21.442;907
1:21.567;908
1:21.699;909
1:21.990;910
1:22.076;911
1:22.207;912
1:14.726;919
1:15.295;920
1:15.273;921
1:15.506;922
1:15.139;923
1:15.269;924
1:15.253;925
1:15.814;926
1:15.601;927
1:15.555;928
1:15.832;929
1:15.833;930
1:15.885;931
1:15.888;932
1:16.116;933
1:16.301;934
1:10.636;941
1:11.146;942
1:11.200;943
1:11.263;944
1:11.877;945
1:11.724;946
1:11.865;947
1:11.673;948
1:12.135;949
1:11.718;950
1:12.150;951
1:12.292;952
1:12.792;953
1:12.854;954
1:12.864;955
1:12.925;956
1:15.111;963
1:15.679;964
1:15.706;965
1:15.776;966
1:15.625;967
1:15.742;968
1:15.901;969
1:15.902;970
1:15.926;971
1:15.974;972
1:16.129;973
1:16.294;974
1:16.433;975
1:17.027;976
1:17.063;977
1:17.105;978
1:14.410;985
1:13.778;986
1:14.094;987
1:14.378;988
1:14.540;989
1:14.652;990
1:14.746;991
1:14.743;992
1:15.021;993
1:14.826;994
1:15.094;995
1:15.141;996
1:15.150;997
1:15.329;998
1:15.380;999
1:15.397;1000
1:19.704;1007
1:19.504;1008
1:19.783;1009
1:19.943;1010
1:19.991;1011
1:20.047;1012
1:20.243;1013
1:20.154;1014
1:20.231;1015
1:20.256;1016
1:20.623;1017
1:20.875;1018
1:20.890;1019
1:21.207;1020
1:21.364;1021
1:23.767;1022
1:27.059;1029
1:25.850;1030
1:26.917;1031
1:27.346;1032
1:27.062;1033
1:27.251;1034
1:26.872;1035
1:27.202;1036
