fastestLap;rank;fastestLapTime;fastestLapSpeed;resultId
68;8;1:12.066;215.252;1862
69;6;1:11.877;215.818;1863
68;10;1:12.210;214.823;1864
40;12;1:12.522;213.899;1865
65;11;1:12.435;214.156;1866
69;14;1:12.961;212.612;1867
49;13;1:12.891;212.816;1868
68;16;1:13.905;209.896;1869
45;17;1:14.743;207.543;1870
50;18;1:14.756;207.507;1871
20;15;1:13.197;211.926;1872
11;19;1:15.855;204.500;1873
2;20;1:24.440;183.709;1874
17;3;1:28.020;216.891;7554
43;14;1:29.066;214.344;7555
50;10;1:28.916;214.706;7556
53;6;1:28.416;215.920;7557
53;9;1:28.712;215.199;7558
48;1;1:27.706;217.668;7559
34;16;1:29.230;213.950;7560
50;17;1:29.823;212.537;7561
43;11;1:28.943;214.640;7562
48;5;1:28.283;216.245;7563
51;12;1:29.005;214.491;7564
38;8;1:28.508;215.695;7565
8;4;1:28.140;216.596;7566
36;2;1:27.988;216.970;7567
35;7;1:28.488;215.744;7568
30;15;1:29.141;214.164;7569
17;19;1:30.502;210.943;7570
6;18;1:29.923;212.301;7571
39;13;1:29.020;214.455;7573
18;1;1:36.641;206.483;7574
17;10;1:39.084;201.392;7575
18;16;1:39.406;200.740;7576
12;3;1:37.591;204.473;7577
17;2;1:37.484;204.698;7578
14;5;1:37.672;204.304;7579
17;11;1:39.141;201.276;7580
13;4;1:37.598;204.459;7581
17;13;1:39.250;201.055;7582
17;12;1:39.242;201.072;7583
17;9;1:39.006;201.551;7584
17;15;1:39.387;200.778;7585
18;14;1:39.268;201.019;7586
17;7;1:38.453;202.683;7587
10;6;1:38.427;202.737;7588
16;8;1:38.938;201.689;7589
17;18;1:39.464;200.623;7590
16;17;1:39.407;200.738;7591
42;2;1:52.627;174.235;7594
42;4;1:52.980;173.690;7595
44;6;1:53.546;172.825;7596
42;1;1:52.592;174.289;7597
41;10;1:54.516;171.361;7598
39;12;1:54.665;171.138;7599
42;3;1:52.703;174.117;7600
42;11;1:54.590;171.250;7601
38;9;1:54.481;171.413;7602
38;15;1:55.396;170.054;7603
43;5;1:53.474;172.934;7604
40;7;1:54.158;171.898;7605
44;14;1:55.350;170.122;7606
37;18;1:56.239;168.821;7607
55;8;1:54.243;171.770;7608
42;16;1:55.535;169.849;7609
41;13;1:54.777;170.971;7610
38;17;1:56.167;168.925;7611
16;19;1:56.484;168.466;7612
14;20;2:00.330;163.081;7613
11;3;1:34.588;205.979;7614
16;4;1:34.756;205.614;7615
10;1;1:34.556;206.049;7616
13;6;1:34.915;205.269;7617
25;5;1:34.901;205.300;7618
42;11;1:35.498;204.016;7619
6;2;1:34.574;206.010;7620
29;14;1:35.722;203.539;7621
37;15;1:35.816;203.339;7622
37;10;1:35.441;204.138;7623
50;8;1:35.165;204.730;7624
54;12;1:35.520;203.969;7625
30;9;1:35.410;204.205;7626
41;7;1:35.065;204.946;7627
9;19;1:36.376;202.158;7628
28;18;1:36.219;202.488;7629
38;20;1:36.473;201.954;7630
50;13;1:35.706;203.573;7631
52;16;1:35.924;203.110;7632
39;17;1:36.153;202.627;7633
17;2;1:22.899;202.149;7634
28;1;1:22.762;202.484;7635
18;5;1:23.112;201.631;7636
41;4;1:23.090;201.684;7637
14;6;1:23.420;200.887;7638
14;3;1:23.089;201.687;7639
29;10;1:23.878;199.790;7640
24;7;1:23.621;200.404;7641
29;9;1:23.839;199.883;7642
44;12;1:24.134;199.182;7643
26;11;1:24.078;199.314;7644
41;14;1:24.286;198.823;7645
38;13;1:24.155;199.132;7646
63;8;1:23.796;199.985;7647
16;15;1:24.490;198.342;7648
6;16;1:28.719;188.888;7649
49;2;1:15.190;159.914;7654
46;7;1:15.685;158.868;7655
47;5;1:15.382;159.507;7656
50;1;1:15.154;159.991;7657
45;3;1:15.321;159.636;7658
48;9;1:15.772;158.686;7659
64;4;1:15.371;159.530;7660
47;13;1:16.178;157.840;7661
74;16;1:16.419;157.343;7662
72;12;1:16.066;158.073;7663
49;15;1:16.268;157.654;7664
65;8;1:15.706;158.824;7665
57;11;1:16.011;158.187;7666
66;14;1:16.245;157.702;7667
73;10;1:15.792;158.644;7668
48;6;1:15.672;158.896;7669
25;17;1:17.558;155.032;7670
15;18;1:17.634;154.880;7671
7;19;1:18.514;153.144;7672
7;20;1:18.582;153.012;7673
40;1;1:27.579;219.422;7674
42;3;1:27.809;218.847;7675
51;2;1:27.622;219.314;7676
40;4;1:27.868;218.700;7677
36;11;1:28.222;217.823;7678
41;9;1:28.176;217.936;7679
58;7;1:28.008;218.352;7680
56;5;1:27.883;218.663;7681
58;8;1:28.061;218.221;7682
57;13;1:28.389;217.411;7683
43;10;1:28.214;217.842;7684
58;6;1:27.988;218.402;7685
53;15;1:28.562;216.986;7686
41;18;1:29.174;215.497;7687
57;16;1:28.624;216.835;7688
45;12;1:28.340;217.532;7689
55;19;1:29.192;215.454;7690
53;17;1:29.022;215.865;7691
37;14;1:28.526;217.075;7692
3;20;1:34.070;204.281;7693
16;1;1:20.735;229.238;7694
57;2;1:20.915;228.728;7695
18;5;1:21.429;227.285;7696
22;6;1:21.509;227.062;7697
17;3;1:21.054;228.336;7698
54;4;1:21.189;227.956;7699
17;9;1:21.806;226.237;7700
14;7;1:21.656;226.653;7701
51;8;1:21.671;226.611;7702
20;10;1:21.810;226.226;7703
14;11;1:21.845;226.129;7704
25;17;1:22.505;224.320;7705
41;14;1:22.182;225.202;7706
36;12;1:21.852;226.110;7707
59;13;1:21.956;225.823;7708
24;18;1:22.576;224.128;7709
50;20;1:23.475;221.714;7710
24;19;1:22.711;223.762;7711
26;16;1:22.466;224.427;7712
32;15;1:22.418;224.557;7713
37;3;1:34.003;197.151;7714
42;4;1:34.089;196.970;7715
53;8;1:34.458;196.201;7716
50;7;1:34.403;196.315;7717
53;6;1:34.252;196.630;7718
54;11;1:34.676;195.749;7719
49;1;1:33.365;198.498;7720
59;17;1:35.524;194.011;7721
40;16;1:35.369;194.327;7722
42;10;1:34.559;195.991;7723
54;13;1:35.301;194.465;7724
49;5;1:34.238;196.659;7725
46;12;1:34.876;195.337;7726
47;9;1:34.537;196.037;7727
43;14;1:35.366;194.333;7728
24;19;1:36.279;192.490;7729
52;2;1:33.654;197.885;7730
46;15;1:35.367;194.331;7731
4;18;1:36.080;192.889;7732
10;20;1:37.498;190.083;7733
16;4;1:22.479;191.219;7734
70;2;1:22.434;191.323;7735
65;1;1:21.931;192.498;7736
65;3;1:22.468;191.245;7737
63;8;1:22.958;190.115;7738
63;5;1:22.506;191.157;7739
57;6;1:22.706;190.694;7740
65;13;1:23.261;189.423;7741
55;11;1:23.180;189.608;7742
55;9;1:23.024;189.964;7743
65;14;1:23.282;189.375;7744
65;15;1:23.418;189.067;7745
65;12;1:23.224;189.507;7746
40;10;1:23.174;189.621;7747
69;16;1:23.444;189.008;7748
69;7;1:22.955;190.122;7749
18;17;1:23.457;188.978;7750
4;18;1:23.529;188.815;7751
39;3;1:38.990;197.074;7754
57;4;1:39.056;196.943;7755
39;5;1:39.207;196.643;7756
56;7;1:39.341;196.378;7757
52;6;1:39.329;196.401;7758
46;10;1:39.494;196.076;7759
46;2;1:38.874;197.305;7760
55;8;1:39.374;196.312;7761
50;11;1:39.528;196.009;7762
36;12;1:39.622;195.824;7763
53;13;1:39.704;195.663;7764
53;17;1:40.111;194.867;7765
52;15;1:39.941;195.199;7766
55;1;1:38.683;197.687;7767
41;9;1:39.428;196.206;7768
29;19;1:40.935;193.276;7769
52;18;1:40.590;193.939;7770
53;14;1:39.747;195.578;7771
37;20;1:41.042;193.072;7772
13;16;1:39.992;195.099;7773
42;4;1:47.674;234.173;7774
43;6;1:47.737;234.036;7775
38;1;1:47.263;235.070;7776
41;3;1:47.664;234.195;7777
35;2;1:47.371;234.834;7778
24;13;1:48.348;232.716;7779
37;12;1:48.257;232.912;7780
41;8;1:47.766;233.973;7781
39;9;1:47.783;233.936;7782
40;5;1:47.736;234.038;7783
42;10;1:47.859;233.771;7784
42;7;1:47.763;233.980;7785
42;11;1:48.205;233.024;7786
41;15;1:49.803;229.633;7787
23;14;1:48.634;232.104;7788
16;16;1:50.029;229.161;7789
48;5;1:24.967;245.445;7794
46;4;1:24.935;245.538;7795
36;2;1:24.761;246.042;7796
36;1;1:24.739;246.106;7797
50;8;1:25.199;244.777;7798
51;6;1:25.109;245.036;7799
30;9;1:25.488;243.950;7800
50;7;1:25.194;244.791;7801
28;10;1:25.498;243.921;7802
51;16;1:25.976;242.565;7803
50;14;1:25.751;243.201;7804
52;3;1:24.802;245.923;7805
50;11;1:25.564;243.733;7806
49;13;1:25.700;243.346;7807
51;12;1:25.609;243.605;7808
50;15;1:25.901;242.777;7809
22;17;1:26.041;242.382;7810
17;19;1:27.846;237.401;7811
12;18;1:27.819;237.474;7812
36;2;1:48.345;168.561;7814
34;6;1:48.396;168.482;7815
53;1;1:48.240;168.725;7816
10;7;1:48.398;168.479;7817
54;4;1:48.369;168.524;7818
50;8;1:48.598;168.168;7819
36;11;1:49.283;167.114;7820
44;10;1:48.847;167.784;7821
45;13;1:49.371;166.980;7822
54;5;1:48.391;168.490;7823
9;3;1:48.352;168.550;7824
54;9;1:48.816;167.831;7825
49;14;1:49.417;166.910;7826
48;15;1:49.852;166.249;7827
32;18;1:52.483;162.360;7828
17;16;1:50.636;165.071;7829
35;12;1:49.319;167.059;7830
15;19;1:52.623;162.158;7831
18;17;1:51.346;164.018;7832
2;20;1:57.192;155.836;7833
43;2;1:32.572;225.826;7834
38;4;1:33.152;224.420;7835
13;6;1:33.259;224.162;7836
33;3;1:32.999;224.789;7837
43;9;1:33.595;223.358;7838
13;10;1:33.600;223.346;7839
17;13;1:33.910;222.608;7840
42;5;1:33.251;224.182;7841
44;7;1:33.334;223.982;7842
28;14;1:33.946;222.523;7843
35;12;1:33.801;222.867;7844
33;8;1:33.479;223.635;7845
36;11;1:33.668;223.184;7846
36;16;1:34.294;221.702;7847
26;18;1:34.783;220.558;7848
39;17;1:34.643;220.884;7849
50;1;1:32.569;225.833;7850
34;15;1:34.049;222.279;7851
5;19;1:35.392;219.150;7852
25;1;1:13.733;210.386;7854
38;4;1:14.155;209.188;7855
59;6;1:14.345;208.654;7856
59;2;1:13.890;209.939;7857
46;7;1:14.353;208.631;7858
47;9;1:14.558;208.058;7859
58;10;1:14.563;208.044;7860
20;3;1:13.950;209.768;7861
68;5;1:14.303;208.772;7862
71;11;1:14.676;207.729;7863
55;14;1:14.931;207.022;7864
43;16;1:14.990;206.859;7865
54;12;1:14.789;207.415;7866
59;13;1:14.861;207.216;7867
21;17;1:15.073;206.630;7868
16;8;1:14.370;208.584;7869
19;15;1:14.988;206.865;7870
54;1;1:40.279;199.387;16067
14;5;1:40.571;198.808;16068
49;6;1:40.642;198.668;16069
54;4;1:40.449;199.050;16070
54;7;1:40.672;198.609;16071
55;11;1:40.779;198.398;16072
49;8;1:40.723;198.508;16073
55;2;1:40.326;199.294;16074
49;15;1:40.997;197.970;16075
54;14;1:40.924;198.113;16076
53;18;1:41.316;197.346;16077
54;12;1:40.843;198.272;16078
54;9;1:40.754;198.447;16079
54;10;1:40.757;198.441;16080
54;17;1:41.277;197.422;16081
54;16;1:41.132;197.705;16082
34;13;1:40.904;198.152;16083
47;19;1:42.274;195.498;16084
16;3;1:40.367;199.212;16085
16;20;1:43.318;193.522;16086
45;1;1:58.287;191.706;20323
38;5;1:59.732;189.392;20324
42;4;1:59.560;189.665;20325
32;12;2:00.218;188.627;20326
45;13;2:00.236;188.599;20327
45;11;2:00.204;188.649;20328
45;9;1:59.970;189.017;20329
45;3;1:59.487;189.781;20330
39;7;1:59.906;189.118;20331
47;6;1:59.833;189.233;20332
33;14;2:00.474;188.226;20333
49;2;1:59.393;189.930;20334
28;8;1:59.964;189.026;20335
34;15;2:01.401;186.789;20336
47;17;2:02.701;184.810;20337
41;10;2:00.080;188.844;20338
34;18;2:02.930;184.465;20339
27;16;2:01.650;186.406;20340
14;22;2:09.127;175.613;20341
11;21;2:07.062;178.467;20342
7;19;2:04.307;182.422;20343
4;20;2:05.044;181.347;20344
2;23;2:09.361;175.295;20345
52;6;1:29.291;213.804;20347
52;8;1:29.570;213.138;20348
52;7;1:29.537;213.216;20349
47;10;1:29.707;212.812;20350
53;2;1:28.489;215.742;20351
47;3;1:28.506;215.700;20352
55;9;1:29.685;212.865;20353
58;5;1:29.210;213.998;20354
47;1;1:28.358;216.061;20355
58;4;1:29.185;214.058;20356
49;11;1:29.713;212.798;20357
54;12;1:30.587;210.745;20358
52;14;1:33.638;203.878;20359
48;16;1:35.045;200.860;20360
37;15;1:34.230;202.597;20361
17;17;1:36.607;197.613;20362
22;13;1:31.556;208.515;20363
6;19;1:43.223;184.947;20364
6;18;1:43.132;185.110;20365
4;20;2:27.276;129.626;20366
53;6;1:37.813;204.009;20371
53;1;1:37.054;205.605;20372
53;8;1:38.129;203.352;20373
55;7;1:38.074;203.466;20374
55;9;1:38.160;203.288;20375
32;4;1:37.745;204.151;20376
48;5;1:37.784;204.070;20377
49;10;1:38.501;202.584;20378
44;13;1:39.489;200.572;20379
51;11;1:39.124;201.311;20380
54;3;1:37.610;204.433;20381
46;12;1:39.428;200.695;20382
41;2;1:37.231;205.230;20383
28;18;1:43.224;193.315;20384
40;21;1:44.790;190.426;20385
39;22;1:45.334;189.443;20386
31;20;1:43.753;192.329;20387
44;17;1:42.701;194.299;20388
32;14;1:40.693;198.174;20389
9;16;1:42.594;194.502;20390
9;15;1:42.084;195.474;20391
6;19;1:43.340;193.098;20392
2;23;1:46.388;187.566;20393
14;4;1:42.886;190.731;20395
13;1;1:42.061;192.273;20396
14;5;1:43.245;190.068;20397
14;9;1:44.134;188.445;20398
14;6;1:43.630;189.362;20399
14;2;1:42.358;191.715;20400
14;8;1:43.801;189.050;20401
14;3;1:42.609;191.246;20402
14;13;1:44.594;187.616;20403
14;10;1:44.298;188.149;20404
14;11;1:44.364;188.030;20405
17;14;1:45.559;185.901;20406
14;7;1:43.755;189.134;20407
14;15;1:47.141;183.156;20408
13;12;1:44.549;187.697;20409
16;17;1:48.216;181.337;20410
15;18;1:48.788;180.383;20411
14;19;1:49.675;178.925;20412
7;20;1:53.185;173.376;20413
6;16;1:47.739;182.140;20414
62;2;1:24.828;197.552;20419
57;3;1:24.846;197.510;20420
56;5;1:25.176;196.745;20421
64;10;1:25.529;195.933;20422
64;4;1:25.166;196.768;20423
64;9;1:25.497;196.006;20424
65;13;1:25.845;195.212;20425
66;7;1:25.466;196.077;20426
59;12;1:25.728;195.478;20427
63;11;1:25.655;195.645;20428
63;8;1:25.470;196.068;20429
62;15;1:26.083;194.672;20430
50;6;1:25.455;196.103;20431
59;1;1:24.357;198.655;20432
63;14;1:25.924;195.032;20433
63;17;1:26.863;192.924;20434
56;18;1:29.564;187.106;20435
60;19;1:29.776;186.664;20436
47;20;1:29.904;186.398;20437
41;16;1:26.724;193.233;20438
26;22;1:32.041;182.071;20439
9;21;1:30.411;185.353;20440
63;2;1:15.318;159.643;20443
71;1;1:15.192;159.910;20444
72;3;1:15.353;159.568;20445
68;4;1:15.503;159.251;20446
68;10;1:16.219;157.755;20447
73;6;1:15.905;158.408;20448
65;7;1:15.959;158.295;20449
72;8;1:15.963;158.287;20450
72;9;1:16.142;157.915;20451
68;13;1:16.493;157.190;20452
73;11;1:16.381;157.421;20453
71;5;1:15.580;159.089;20454
60;12;1:16.405;157.371;20455
69;19;1:19.553;151.144;20456
69;18;1:19.340;151.550;20457
57;14;1:18.401;153.365;20458
58;20;1:20.130;150.056;20459
22;16;1:19.074;152.060;20460
24;15;1:18.775;152.637;20461
19;22;1:22.255;146.179;20462
11;21;1:20.775;148.857;20463
21;17;1:19.270;151.684;20464
2;23;2:14.285;89.540;20465
54;12;1:30.075;213.342;20467
42;7;1:29.895;213.769;20468
54;2;1:29.195;215.447;20469
53;6;1:29.810;213.971;20470
52;9;1:29.977;213.574;20471
57;4;1:29.580;214.521;20472
58;10;1:29.996;213.529;20473
56;11;1:30.011;213.493;20474
55;8;1:29.959;213.617;20475
42;16;1:30.891;211.426;20476
50;14;1:30.421;212.525;20477
50;3;1:29.535;214.628;20478
53;18;1:31.421;210.201;20479
53;17;1:30.933;211.329;20480
57;1;1:29.165;215.519;20481
57;5;1:29.588;214.501;20482
51;15;1:30.620;212.059;20483
48;19;1:32.265;208.278;20484
55;20;1:33.257;206.062;20485
37;24;1:34.585;203.169;20486
35;21;1:34.247;203.898;20487
37;13;1:30.181;213.091;20488
26;22;1:34.363;203.647;20489
26;23;1:34.463;203.432;20490
62;2;1:17.806;201.778;20491
66;4;1:18.144;200.906;20492
44;6;1:18.207;200.744;20493
62;8;1:18.417;200.206;20494
62;5;1:18.148;200.895;20495
68;3;1:17.832;201.711;20496
67;1;1:16.972;203.965;20497
39;15;1:19.784;196.776;20498
66;11;1:19.349;197.855;20499
68;13;1:19.530;197.404;20500
44;14;1:19.577;197.288;20501
69;16;1:19.842;196.633;20502
64;9;1:18.912;198.950;20503
65;10;1:19.175;198.289;20504
45;7;1:18.325;200.441;20505
65;18;1:20.654;194.653;20506
58;12;1:19.453;197.596;20507
47;21;1:21.884;191.729;20508
49;22;1:21.937;191.605;20509
43;20;1:21.669;192.234;20510
38;19;1:20.791;194.323;20511
21;17;1:20.574;194.846;20512
5;23;1:24.524;185.741;20513
52;3;1:39.141;196.774;20515
56;4;1:39.156;196.744;20516
54;1;1:38.766;197.521;20517
56;5;1:39.489;196.085;20518
55;7;1:39.542;195.981;20519
52;8;1:39.803;195.469;20520
57;6;1:39.517;196.030;20521
50;10;1:39.889;195.300;20522
53;11;1:40.084;194.920;20523
57;9;1:39.878;195.322;20524
52;13;1:40.208;194.679;20525
56;16;1:40.430;194.248;20526
55;15;1:40.327;194.448;20527
57;12;1:40.100;194.889;20528
53;2;1:38.968;197.118;20529
52;14;1:40.305;194.490;20530
45;20;1:42.414;190.485;20531
51;22;1:43.820;187.905;20532
48;19;1:42.319;190.662;20533
55;21;1:42.927;189.536;20534
53;18;1:41.770;191.691;20535
46;17;1:40.790;193.554;20536
8;24;1:46.130;183.816;20537
5;23;1:44.064;187.465;20538
45;4;1:32.364;229.608;20539
43;6;1:32.758;228.633;20540
50;7;1:32.952;228.156;20541
52;9;1:33.003;228.031;20542
50;11;1:33.615;226.540;20543
52;10;1:33.558;226.678;20544
52;3;1:31.967;230.600;20545
42;16;1:34.337;224.806;20546
47;15;1:34.171;225.203;20547
48;13;1:33.989;225.639;20548
51;14;1:34.018;225.569;20549
52;8;1:32.980;228.087;20550
52;5;1:32.484;229.311;20551
52;1;1:30.874;233.373;20552
52;2;1:31.646;231.407;20553
44;20;1:36.519;219.724;20554
48;18;1:36.251;220.336;20555
49;19;1:36.415;219.961;20556
40;23;1:38.798;214.656;20557
50;22;1:38.309;215.723;20558
43;12;1:33.748;226.219;20559
23;17;1:35.883;221.182;20560
12;21;1:36.846;218.982;20561
7;24;1:40.641;210.725;20562
66;2;1:15.880;217.005;20563
66;3;1:16.097;216.386;20564
67;1;1:15.824;217.166;20565
65;5;1:16.503;215.238;20566
65;4;1:16.451;215.385;20567
57;9;1:16.678;214.747;20568
62;16;1:17.166;213.389;20569
66;8;1:16.609;214.940;20570
66;14;1:17.088;213.605;20571
62;17;1:17.198;213.300;20572
63;15;1:17.100;213.571;20573
63;13;1:17.029;213.768;20574
61;11;1:16.836;214.305;20575
61;6;1:16.527;215.171;20576
66;12;1:16.971;213.929;20577
64;7;1:16.596;214.977;20578
65;10;1:16.687;214.722;20579
62;18;1:18.211;210.538;20580
57;21;1:20.861;203.638;20581
51;19;1:20.664;204.135;20582
49;20;1:20.703;204.037;20583
16;22;1:23.541;197.105;20584
2;23;2:14.452;122.470;20585
46;2;1:22.651;190.821;20587
67;4;1:23.195;189.573;20588
70;1;1:22.362;191.491;20589
69;5;1:23.329;189.269;20590
61;6;1:23.799;188.207;20591
66;7;1:24.204;187.302;20592
65;10;1:24.342;186.995;20593
61;8;1:24.205;187.300;20594
68;9;1:24.282;187.128;20595
68;3;1:22.811;190.452;20596
64;12;1:25.372;184.739;20597
58;13;1:25.449;184.573;20598
58;11;1:25.358;184.770;20599
64;18;1:27.457;180.335;20600
58;17;1:27.429;180.393;20601
59;19;1:27.674;179.889;20602
61;21;1:28.093;179.033;20603
62;16;1:27.287;180.686;20604
59;23;1:29.278;176.657;20605
22;14;1:26.258;182.842;20606
21;15;1:26.825;181.648;20607
13;20;1:27.954;179.316;20608
12;22;1:28.177;178.862;20609
32;1;1:49.069;231.178;20611
32;2;1:49.395;230.489;20612
29;3;1:49.807;229.624;20613
26;4;1:50.111;228.990;20614
25;5;1:50.477;228.232;20615
31;10;1:51.688;225.757;20616
32;13;1:51.914;225.301;20617
29;11;1:51.749;225.634;20618
32;7;1:51.175;226.799;20619
31;14;1:52.267;224.593;20620
31;15;1:52.537;224.054;20621
30;17;1:52.966;223.203;20622
31;9;1:51.576;225.984;20623
28;12;1:51.864;225.402;20624
22;6;1:50.868;227.427;20625
23;22;1:55.797;217.746;20626
25;21;1:55.705;217.919;20627
31;19;1:55.268;218.745;20628
24;18;1:55.103;219.059;20629
31;20;1:55.484;218.336;20630
29;8;1:51.374;226.393;20631
6;16;1:52.879;223.375;20632
5;23;2:20.201;179.844;20633
52;1;1:24.139;247.861;20635
46;8;1:24.598;246.516;20636
51;6;1:24.575;246.583;20637
50;4;1:24.493;246.822;20638
52;3;1:24.491;246.828;20639
52;2;1:24.278;247.452;20640
52;7;1:24.576;246.580;20641
48;5;1:24.560;246.627;20642
49;11;1:24.947;245.503;20643
48;14;1:25.239;244.662;20644
51;13;1:25.224;244.705;20645
51;12;1:25.102;245.056;20646
53;9;1:24.644;246.382;20647
47;16;1:26.325;241.584;20648
51;15;1:25.472;243.995;20649
51;10;1:24.937;245.532;20650
50;17;1:27.765;237.620;20651
50;18;1:27.822;237.466;20652
45;20;1:28.875;234.653;20653
46;19;1:28.171;236.526;20654
30;21;1:29.017;234.278;20655
10;22;1:30.880;229.476;20656
58;1;1:47.976;169.137;20659
59;2;1:48.141;168.879;20660
54;5;1:49.706;166.470;20661
61;7;1:49.711;166.462;20662
55;8;1:50.125;165.837;20663
52;9;1:50.334;165.522;20664
56;3;1:49.255;167.157;20665
45;12;1:52.079;162.945;20666
45;15;1:52.473;162.374;20667
45;13;1:52.213;162.751;20668
46;11;1:51.903;163.202;20669
43;14;1:52.333;162.577;20670
54;4;1:49.680;166.509;20671
59;6;1:49.710;166.464;20672
55;17;1:52.513;162.317;20673
53;18;1:53.051;161.544;20674
38;19;1:53.559;160.822;20675
29;16;1:52.475;162.372;20676
31;10;1:50.750;164.901;20677
23;22;1:57.766;155.077;20678
22;20;1:53.957;160.260;20679
19;23;1:57.962;154.819;20680
20;21;1:56.386;156.915;20681
51;3;1:33.653;223.219;20683
53;1;1:33.474;223.647;20684
53;4;1:33.823;222.815;20685
53;2;1:33.529;223.515;20686
35;9;1:35.182;219.633;20687
52;7;1:34.853;220.395;20688
50;6;1:34.486;221.251;20689
52;10;1:35.521;218.854;20690
53;11;1:35.597;218.680;20691
52;8;1:35.116;219.786;20692
49;5;1:34.365;221.535;20693
51;14;1:37.620;214.148;20694
28;15;1:39.710;209.660;20695
51;17;1:39.813;209.443;20696
49;18;1:40.329;208.366;20697
33;16;1:39.806;209.458;20698
44;12;1:36.108;217.517;20699
43;13;1:36.319;217.041;20700
2;19;2:41.378;129.541;20701
42;1;1:50.257;183.335;20707
42;3;1:50.430;183.048;20708
44;4;1:50.502;182.928;20709
43;8;1:51.835;180.748;20710
45;7;1:51.604;181.122;20711
45;5;1:51.371;181.501;20712
45;6;1:51.564;181.187;20713
42;14;1:53.086;178.748;20714
42;15;1:53.263;178.469;20715
43;10;1:51.982;180.511;20716
43;9;1:51.962;180.543;20717
42;11;1:52.193;180.171;20718
43;16;1:55.018;175.746;20719
30;20;1:59.290;169.452;20720
36;19;1:58.313;170.851;20721
40;12;1:52.601;179.518;20722
44;2;1:50.375;183.139;20723
39;13;1:53.031;178.835;20724
29;18;1:58.102;171.157;20725
27;17;1:56.768;173.112;20726
25;23;2:02.635;164.830;20727
20;24;2:05.161;161.503;20728
18;21;2:00.025;168.414;20729
18;22;2:00.652;167.539;20730
70;6;1:14.283;208.828;20731
69;4;1:14.047;209.493;20732
67;2;1:13.855;210.038;20733
66;1;1:13.851;210.049;20734
71;3;1:13.932;209.819;20735
65;5;1:14.184;209.107;20736
71;12;1:15.219;206.229;20737
70;8;1:14.985;206.873;20738
61;11;1:15.161;206.388;20739
65;7;1:14.748;207.529;20740
68;16;1:15.695;204.932;20741
64;9;1:14.997;206.840;20742
69;17;1:15.935;204.285;20743
69;13;1:15.227;206.207;20744
69;14;1:15.330;205.925;20745
70;15;1:15.485;205.503;20746
68;10;1:15.068;206.644;20747
69;20;1:17.161;201.039;20748
69;21;1:17.316;200.636;20749
66;23;1:17.695;199.657;20750
66;24;1:17.731;199.565;20751
63;22;1:17.690;199.670;20752
60;18;1:16.767;202.071;20753
37;19;1:16.940;201.616;20754
50;4;1:41.739;196.526;20755
47;1;1:41.274;197.428;20756
48;2;1:41.636;196.725;20757
52;3;1:41.711;196.580;20758
51;5;1:41.753;196.499;20759
52;8;1:42.311;195.427;20760
52;7;1:42.227;195.588;20761
52;6;1:42.196;195.647;20762
49;15;1:42.727;194.636;20763
52;14;1:42.725;194.640;20764
52;12;1:42.673;194.738;20765
50;11;1:42.669;194.746;20766
52;13;1:42.695;194.696;20767
53;16;1:42.733;194.624;20768
50;10;1:42.573;194.928;20769
51;9;1:42.397;195.263;20770
52;17;1:45.378;189.739;20771
50;19;1:46.126;188.402;20772
52;20;1:46.255;188.173;20773
44;21;1:46.646;187.483;20774
42;18;1:45.979;188.663;20775
39;22;1:46.837;187.148;20776
44;4;1:29.844;212.488;20779
41;8;1:30.314;211.382;20780
55;7;1:30.064;211.969;20781
49;2;1:29.487;213.336;20782
50;3;1:29.600;213.066;20783
49;5;1:29.883;212.396;20784
55;1;1:28.947;214.631;20785
44;11;1:30.836;210.167;20786
55;13;1:31.526;208.583;20787
40;14;1:31.941;207.641;20788
41;10;1:30.467;211.025;20789
43;15;1:32.377;206.661;20790
52;16;1:32.550;206.275;20791
44;19;1:34.523;201.969;20792
48;22;1:35.789;199.300;20793
47;12;1:31.404;208.861;20794
21;17;1:33.503;204.173;20795
19;20;1:34.918;201.129;20796
13;21;1:35.319;200.283;20797
7;18;1:34.102;202.873;20798
51;9;1:30.384;211.218;20799
39;6;1:29.962;212.209;20800
33;6;1:41.539;196.523;20801
50;4;1:41.264;197.057;20802
47;7;1:41.547;196.508;20803
46;1;1:40.571;198.415;20804
41;9;1:41.999;195.637;20805
49;2;1:40.717;198.127;20806
39;10;1:42.095;195.453;20807
54;5;1:41.512;196.575;20808
45;11;1:42.491;194.698;20809
48;13;1:42.883;193.956;20810
34;14;1:42.973;193.786;20811
45;8;1:41.778;196.062;20812
36;12;1:42.659;194.379;20813
37;17;1:43.744;192.346;20814
43;16;1:43.677;192.470;20815
50;20;1:45.357;189.401;20816
49;3;1:41.054;197.466;20817
42;23;1:46.521;187.332;20818
41;19;1:45.346;189.421;20819
23;18;1:45.280;189.540;20820
19;15;1:43.298;193.177;20821
10;21;1:45.516;189.116;20822
5;24;1:49.385;182.427;20823
5;22;1:45.689;188.806;20824
48;2;1:40.415;195.424;20825
47;8;1:41.321;193.677;20826
42;1;1:38.993;198.232;20827
39;3;1:40.623;195.021;20828
41;5;1:41.166;193.974;20829
39;10;1:41.678;192.997;20830
41;15;1:42.070;192.256;20831
46;6;1:41.215;193.880;20832
50;7;1:41.261;193.792;20833
32;17;1:42.577;191.306;20834
45;18;1:42.614;191.237;20835
