milliseconds;resultId
5752991;589
5753706;590
5796120;591
5797849;592
5800607;593
5803660;594
5812130;595
5821095;596
5829322;597
5202161;611
5204436;612
5228342;613
5241835;614
5247246;615
5248330;616
5257939;617
5258868;618
5261652;619
5273170;620
5281789;621
4717806;633
4723868;634
4745131;635
4774368;636
4778364;637
4783616;638
4784557;639
4779974;640
4783685;641
4784764;642
4785542;643
4839066;655
4843761;656
4853409;657
4862681;658
4890945;659
4915942;660
4919705;661
4924172;662
4924727;663
4927640;664
4942719;665
7234579;677
7242956;678
7244057;679
7254876;680
7273443;681
7283621;682
7283864;683
7294708;684
7315201;685
7322921;686
5878395;699
5888201;700
5891286;701
5931904;702
5947061;703
5952068;704
5952619;705
5959145;706
5959581;707
5963080;708
5965078;709
5295270;721
5296763;722
5352289;723
5358118;724
5366227;725
5366587;726
5386205;743
5387451;744
5405565;745
5406197;746
5423253;747
5428137;748
5449248;749
5452976;750
5456112;751
5461746;752
5472202;753
5440529;765
5445114;766
5450160;767
5479880;768
5483783;769
5484383;770
5520990;771
5521817;772
5667870;787
5669670;788
5692670;789
5698870;790
5705970;791
5717370;792
5719770;793
5721770;794
5746670;795
5466486;809
5468582;810
5482354;811
5483582;812
5484010;813
5504225;814
5506121;815
5506686;816
5511997;817
5544337;818
5546161;819
5548856;820
5758765;831
5762516;832
5763212;833
5763644;834
5831351;835
5832881;836
5833330;837
5848129;838
5181759;853
5200261;854
5205710;855
5211612;856
5238634;857
5240106;858
6223116;875
6237683;876
6275414;877
6276453;878
6276946;879
6285188;880
5151927;897
5165878;898
5170599;899
5171903;900
5183486;901
5216696;902
5226521;903
5230226;904
5230935;905
5677308;919
5679408;920
5686108;921
5692908;922
5702408;923
5675199;941
5683183;942
5691794;943
5698803;944
5703609;945
5711712;946
5527803;963
5537903;964
5550303;965
5555003;966
5560803;967
5573003;968
5577203;969
5271693;985
5272393;986
5284893;987
5290493;988
5295393;989
5296493;990
5298193;991
5319793;992
5331993;993
6740941;1007
6771778;1008
6784763;1009
6786146;1010
5331082;1029
5336657;1030
5336738;1031
5343416;1032
5376990;1033
5377676;1034
5390419;1035
5391116;1036
4491975;1051
4500021;1052
4518389;1053
4524020;1054
4524660;1055
4534384;1056
4536637;1057
4537284;1058
4537970;1059
4564577;1060
5852747;1073
5855868;1074
5896944;1075
5924803;1076
5929884;1077
5931878;1078
5944726;1079
5956335;1080
5956543;1081
5032413;1095
5048564;1096
5056366;1097
5066514;1098
5076009;1099
5079130;1100
5081282;1101
5108508;1102
5109345;1103
5513751;1117
5532409;1118
5533145;1119
5537845;1120
5542254;1121
5544038;1122
5554045;1123
5565819;1124
5581393;1125
5057336;1139
5062889;1140
5064048;1141
5073467;1142
5074244;1143
5092369;1144
5096333;1145
5096969;1146
5120444;1147
5121729;1148
5493736;1159
5518063;1160
5525924;1161
5535367;1162
5545590;1163
5566279;1164
5573724;1165
5574571;1166
5575316;1167
5358531;1179
5371940;1180
5390594;1181
5411803;1182
5423519;1183
5433232;1184
5261921;1199
5262136;1200
5289475;1201
5326363;1202
5332179;1203
5333203;1204
5345218;1205
5345685;1206
5357762;1207
5272321;1217
5296621;1218
5236830;1219
5264482;1220
5282777;1221
5283549;1222
5294766;1223
5305372;1224
6315556;1237
6329433;1238
6334040;1239
6352043;1240
6352203;1241
6352673;1242
6352779;1243
6353126;1244
5506648;1255
5523215;1256
5525197;1257
5538236;1258
5557093;1259
5558580;1260
5564821;1261
5577739;1262
5578177;1263
5602434;1264
5529290;1275
5530390;1276
5569690;1277
5584390;1278
5584990;1279
5383181;1295
5384681;1296
5482232;1315
5494032;1316
5564132;1317
5069588;1335
5072288;1336
5083988;1337
5087488;1338
5109888;1339
5144888;1340
5146188;1341
5148788;1342
5150488;1343
5188599;1355
5211168;1356
5213021;1357
5239186;1358
5240289;1359
5240841;1360
5241299;1361
5245169;1362
5258417;1363
5845552;1375
5881133;1376
5881681;1377
5899773;1378
5904384;1379
5913927;1380
5074454;1395
5093063;1396
5094089;1397
5112427;1398
5113758;1399
5129874;1400
5143746;1401
5146076;1402
5154441;1403
4468659;1415
4471138;1416
4486634;1417
4491434;1418
4502445;1419
4512584;1420
4513302;1421
4532294;1422
4544072;1423
4564729;1424
5401295;1435
5429595;1436
5433295;1437
5470395;1438
5479395;1439
5488695;1440
5488795;1441
5360574;1455
5363101;1456
5385414;1457
5396242;1458
5400792;1459
5429747;1460
5342212;1475
5343845;1476
5359668;1477
5364486;1478
5371719;1479
5373813;1480
5376091;1481
5391760;1482
5394137;1483
5399721;1484
5402845;1485
5425433;1486
5993618;1495
5997618;1496
6018918;1497
6019718;1498
6025418;1499
6030018;1500
6030418;1501
